Movies,IMDB Rating,Genre,Runtime (in min),Year of Release,Gross Income (in $)
324.The Little Mermaid(I) ,7.2,"Adventure, Family, Fantasy",135,2023,"$201,585,3"
325.The Hunger Games,7.2,"Action, Adventure, Sci-Fi",142,2012,"$351,723,9"
326.Kingdom of Heaven,7.2,"Action, Adventure, Drama",144,2005,"$363,258,8"
327.Grease,7.2,"Comedy, Musical, Romance",110,1978,"$242,875,0"
328.Cars,7.2,"Animation, Adventure, Comedy",117,2006,"$814,044,0"
329.Notting Hill,7.2,"Comedy, Drama, Romance",124,1999,"$235,926,5"
330.Encanto,7.2,"Animation, Comedy, Family",102,2021,"$556,906,3"
331.American Hustle,7.2,"Crime, Drama",138,2013,"$215,294,3"
332.The Great Gatsby,7.2,"Drama, Romance",143,2013,"$218,613,1"
333.The Passion of the Christ,7.2,Drama,127,2004,"$741,847,9"
334.I Am Legend,7.2,"Action, Drama, Horror",101,2007,"$185,260,5"
335.A Quiet Place Part II,7.2,"Drama, Horror, Sci-Fi",97,2020,"$352,194,0"
336.21 Jump Street,7.2,"Action, Comedy, Crime",109,2012,"$209,196,2"
337.Now You See Me(I) ,7.2,"Crime, Mystery, Thriller",115,2013,"$306,776,7"
338.A Bug's Life,7.2,"Animation, Adventure, Comedy",95,1998,"$743,559,6"
339.8 Mile,7.2,"Drama, Music",110,2002,"$245,724,6"
340.Fantastic Beasts and Where to Find Them,7.2,"Adventure, Family, Fantasy",132,2016,"$257,938,6"
341.A.I. Artificial Intelligence,7.2,"Drama, Sci-Fi",146,2001,"$193,764,6"
342.King Kong,7.2,"Action, Adventure, Romance",187,2005,"$665,692,2"
343.The Patriot,7.2,"Action, Drama, History",165,2000,"$587,235,9"
344.The Prince of Egypt,7.2,"Animation, Adventure, Drama",99,1998,"$205,035,8"
345.The Matrix Reloaded,7.2,"Action, Sci-Fi",138,2003,"$306,941,6"
346.The Birdcage,7.2,Comedy,117,1996,"$197,744,3"
347.GoldenEye,7.2,"Action, Adventure, Thriller",130,1995,"$261,183,5"
348.Red Dragon,7.2,"Crime, Drama, Thriller",124,2002,"$1,336,903,3"
349.Chicago,7.2,"Comedy, Crime, Musical",113,2002,"$204,334,4"
350.Monsters University,7.2,"Animation, Adventure, Comedy",104,2013,"$457,696,3"
351.Rango,7.2,"Animation, Action, Adventure",107,2011,"$415,933,4"
352.The Full Monty,7.2,"Comedy, Drama",91,1997,"$668,045,5"
353.The Post,7.2,"Biography, Drama, History",116,2017,"$331,526,5"
354.Kung Fu Panda 2,7.2,"Animation, Action, Adventure",90,2011,"$463,406,2"
355.The Croods,7.2,"Animation, Action, Adventure",98,2013,"$441,286,1"
356.A Dog's Purpose,7.2,"Adventure, Comedy, Drama",100,2017,"$1,266,115,9"
357.Rise of the Guardians,7.2,"Animation, Action, Adventure",97,2012,"$195,702,9"
358.Christopher Robin,7.2,"Adventure, Comedy, Drama",104,2018,"$288,752,3"
359.This Is It,7.2,"Documentary, Drama, Music",111,2009,"$634,338,3"
360.The Super Mario Bros. Movie,7.1,"Animation, Adventure, Comedy",92,2023,"$249,348,9"
361.Ghostbusters: Afterlife,7.1,"Adventure, Comedy, Fantasy",124,2021,"$369,884,6"
362.Mission: Impossible,7.1,"Action, Adventure, Thriller",110,1996,"$262,821,9"
363.The Mummy,7.1,"Action, Adventure, Fantasy",124,1999,"$266,915,2"
364.Man of Steel,7.1,"Action, Adventure, Sci-Fi",143,2013,"$1,515,341,3"
365.Free Guy,7.1,"Action, Adventure, Comedy",115,2021,"$194,564,6"
366.Pretty Woman,7.1,"Comedy, Romance",119,1990,"$1,215,577,2"
367.Mrs. Doubtfire,7.1,"Comedy, Drama",125,1993,"$180,557,5"
368.Beauty and the Beast(I) ,7.1,"Adventure, Family, Fantasy",129,2017,"$267,045,7"
369.Tropic Thunder,7.1,"Action, Comedy, War",107,2008,"$961,691,2"
370.Coming to America,7.1,"Comedy, Romance",117,1988,"$505,703,5"
371.Sing,7.1,"Animation, Comedy, Family",108,2016,"$353,133,8"
372.The Ring,7.1,"Horror, Mystery",115,2002,"$538,983,2"
373.There's Something About Mary,7.1,"Comedy, Romance",119,1998,"$203,427,5"
374.Jumanji,7.1,"Adventure, Comedy, Family",104,1995,"$340,487,8"
375.Batman Returns,7.1,"Action, Crime, Fantasy",126,1992,"$388,156,0"
376.Fast & Furious 7,7.1,"Action, Crime, Thriller",137,2015,"$207,557,1"
377.The Intern(I) ,7.1,"Comedy, Drama",121,2015,"$201,545,5"
378.Iron Man Three,7.1,"Action, Adventure, Sci-Fi",130,2013,"$299,268,5"
379.Deja Vu,7.1,"Action, Crime, Sci-Fi",126,2006,"$245,700,8"
380.The Princess and the Frog,7.1,"Animation, Adventure, Comedy",97,2009,"$224,874,8"
381.Pirates of the Caribbean: At World's End,7.1,"Action, Adventure, Fantasy",169,2007,"$227,356,1"
382.Ghost,7.1,"Drama, Fantasy, Romance",127,1990,"$521,170,8"
"383.I, Robot",7.1,"Action, Mystery, Sci-Fi",115,2004,"$289,317,7"
384.Brave,7.1,"Animation, Action, Adventure",93,2012,"$240,031,2"
385.Everest,7.1,"Action, Adventure, Biography",121,2015,"$214,215,8"
386.Enchanted,7.1,"Animation, Adventure, Comedy",107,2007,"$227,514,2"
387.Live Free or Die Hard,7.1,"Action, Thriller",128,2007,"$245,144,4"
388.DC League of Super-Pets,7.1,"Animation, Action, Adventure",105,2022,"$235,483,0"
389.Valkyrie,7.1,"Drama, History, Thriller",121,2008,Top Lifetime Grosses – Worldwi
390.Real Steel,7.1,"Action, Drama, Sci-Fi",127,2011,"July 2, 20"
391.Four Weddings and a Funeral,7.1,"Comedy, Drama, Romance",117,1994,"$269,994,1"
392.Chicken Run,7.1,"Animation, Adventure, Comedy",84,2000,"$403,354,4"
393.Elf,7.1,"Adventure, Comedy, Family",97,2003,"$214,577,2"
394.Kung Fu Panda 3,7.1,"Animation, Action, Adventure",95,2016,"$218,340,5"
395.Shakespeare in Love,7.1,"Comedy, Drama, History",123,1998,"$449,326,6"
396.Die Hard 2,7.1,"Action, Thriller",124,1990,"$709,709,7"
397.Creed II,7.1,"Action, Drama, Sport",130,2018,"$352,927,2"
398.Out of Africa,7.1,"Biography, Drama, Romance",161,1985,"$244,721,0"
399.Bienvenue chez les Ch'tis,7.1,"Comedy, Romance",106,2008,"$303,144,1"
400.American Pie,7,Comedy,95,1999,"$199,006,3"
401.We're the Millers,7,"Comedy, Crime",110,2013,"$817,400,8"
402.Prometheus(I) ,7,"Adventure, Mystery, Sci-Fi",124,2012,"$196,567,2"
403.Dirty Dancing(I) ,7,"Drama, Music, Romance",100,1987,"$343,471,8"
404.Jack Reacher,7,"Action, Mystery, Thriller",130,2012,"$540,455,8"
405.Thor,7,"Action, Fantasy",115,2011,"$288,485,1"
406.Transformers,7,"Action, Adventure, Sci-Fi",144,2007,"$788,680,9"
407.Basic Instinct,7,"Drama, Mystery, Thriller",127,1992,"$230,884,7"
408.Rush Hour,7,"Action, Comedy, Crime",98,1998,"$367,799,0"
409.Passengers(I) ,7,"Drama, Romance, Sci-Fi",116,2016,"$235,666,2"
410.RED,7,"Action, Comedy, Crime",111,2010,"$214,104,6"
411.Independence Day,7,"Action, Adventure, Sci-Fi",145,1996,"$260,095,9"
412.Stargate,7,"Action, Adventure, Sci-Fi",116,1994,"$358,375,6"
413.Star Trek Beyond,7,"Action, Adventure, Sci-Fi",122,2016,"$286,168,5"
414.World War Z,7,"Action, Adventure, Horror",116,2013,"$331,333,8"
415.Wedding Crashers,7,"Comedy, Romance",119,2005,"$183,097,3"
416.Furious 6,7,"Action, Adventure, Crime",130,2013,"$330,444,0"
417.Constantine,7,"Action, Fantasy, Horror",121,2005,"$529,323,9"
418.Shazam!,7,"Action, Adventure, Comedy",132,2019,"$622,674,1"
419.Spy,7,"Action, Comedy",120,2015,"$325,338,8"
420.Public Enemies,7,"Action, Biography, Crime",140,2009,"$255,743,0"
421.Super 8,7,"Action, Mystery, Sci-Fi",112,2011,"$183,031,2"
422.Hotel Transylvania,7,"Animation, Adventure, Comedy",91,2012,"$189,176,4"
423.Oblivion(I) ,7,"Action, Adventure, Sci-Fi",124,2013,"$246,233,1"
424.22 Jump Street,7,"Action, Comedy, Crime",112,2014,"$190,304,7"
425.Wayne's World,7,"Comedy, Music",94,1992,"$822,009,7"
426.Meet the Parents,7,"Comedy, Romance",108,2000,"$227,091,2"
427.Ralph Breaks the Internet,7,"Animation, Adventure, Comedy",112,2018,"$357,288,1"
428.Ant-Man and the Wasp,7,"Action, Adventure, Comedy",118,2018,"$1,671,537,4"
429.The Hunchback of Notre Dame,7,"Animation, Drama, Family",91,1996,"$745,013,1"
430.Marley & Me,7,"Drama, Family",111,2008,"$549,368,3"
431.Maverick,7,"Action, Adventure, Comedy",127,1994,"$224,012,2"
432.The X Files,7,"Drama, Mystery, Sci-Fi",121,1998,"$392,924,8"
433.The Peanuts Movie,7,"Animation, Adventure, Comedy",88,2015,"$398,479,4"
434.Abominable,7,"Animation, Adventure, Comedy",97,2019,"$955,775,8"
"435.Ni hao, Li Huanying",7,"Comedy, Romance",128,2021,"$326,706,1"
436.Fang hua,7,"Drama, Romance, War",135,2017,"$542,358,3"
437.Top Gun,6.9,"Action, Drama",109,1986,"$1,054,304,0"
438.Jurassic World,6.9,"Action, Adventure, Sci-Fi",124,2015,"$351,583,4"
"439.The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,"Adventure, Family, Fantasy",143,2005,"$370,569,7"
440.Ted,6.9,Comedy,106,2012,"$390,493,9"
441.Con Air,6.9,"Action, Crime, Thriller",115,1997,"$995,339,1"
442.Solo: A Star Wars Story,6.9,"Action, Adventure, Sci-Fi",135,2018,"$222,809,6"
443.Mission: Impossible III,6.9,"Action, Adventure, Thriller",126,2006,"$543,934,1"
444.Doctor Strange in the Multiverse of Madness,6.9,"Action, Adventure, Fantasy",126,2022,"$203,388,3"
445.The Devil Wears Prada,6.9,"Comedy, Drama",109,2006,"$1,334,407,7"
446.Cinderella(I) ,6.9,"Adventure, Drama, Family",105,2015,"$757,930,6"
447.Aladdin,6.9,"Adventure, Comedy, Family",128,2019,"$302,710,6"
448.The Mask,6.9,"Action, Comedy, Crime",101,1994,"$411,002,9"
449.Captain America: The First Avenger,6.9,"Action, Adventure, Sci-Fi",124,2011,"$238,843,7"
450.Robin Hood: Prince of Thieves,6.9,"Action, Adventure, Drama",143,1991,"$542,063,8"
451.Jumanji: Welcome to the Jungle,6.9,"Action, Adventure, Comedy",119,2017,"$209,838,5"
452.Non-Stop,6.9,"Action, Mystery, Thriller",106,2014,"$205,850,1"
453.X-Men: Apocalypse,6.9,"Action, Adventure, Sci-Fi",144,2016,"$623,933,3"
454.Vanilla Sky,6.9,"Fantasy, Mystery, Romance",136,2001,"$191,502,4"
455.Star Wars: Episode VIII - The Last Jedi,6.9,"Action, Adventure, Fantasy",152,2017,"$483,866,7"
456.The Amazing Spider-Man,6.9,"Action, Adventure, Sci-Fi",136,2012,"$320,145,6"
457.Liar Liar,6.9,"Comedy, Fantasy",86,1997,"$347,512,3"
458.Pacific Rim,6.9,"Action, Adventure, Sci-Fi",131,2013,"$759,853,6"
459.Crazy Rich Asians,6.9,"Comedy, Drama, Romance",120,2018,"$186,053,7"
460.Madagascar,6.9,"Animation, Adventure, Comedy",86,2005,"$219,922,4"
461.Horrible Bosses,6.9,"Comedy, Crime",98,2011,"$183,428,6"
462.The Holiday,6.9,"Comedy, Romance",136,2006,"$243,006,1"
463.Iron Man 2,6.9,"Action, Sci-Fi",124,2010,"$311,312,6"
464.The Addams Family,6.9,"Comedy, Fantasy",99,1991,"$215,887,7"
465.Rio,6.9,"Animation, Adventure, Comedy",96,2011,"$300,473,7"
466.Fatal Attraction,6.9,"Drama, Thriller",119,1987,"$254,134,9"
467.National Treasure,6.9,"Action, Adventure, Mystery",131,2004,"$215,905,8"
468.Maleficent,6.9,"Adventure, Family, Fantasy",97,2014,"$886,686,8"
469.Atlantis: The Lost Empire,6.9,"Animation, Action, Adventure",95,2001,"$221,303,1"
470.Knocked Up,6.9,"Comedy, Romance",129,2007,"$218,971,0"
471.The Hitman's Bodyguard,6.9,"Action, Comedy, Crime",118,2017,"$202,084,7"
472.Cloudy with a Chance of Meatballs,6.9,"Animation, Adventure, Comedy",90,2009,"$207,517,5"
473.Ocean's Thirteen,6.9,"Crime, Thriller",122,2007,"$351,692,2"
474.Clear and Present Danger,6.9,"Action, Crime, Drama",141,1994,"$306,442,0"
475.Rocky IV,6.9,"Drama, Sport",91,1985,"$300,854,8"
476.Babe,6.9,"Comedy, Drama, Family",91,1995,"$1,663,075,4"
477.The Croods: A New Age,6.9,"Animation, Adventure, Comedy",95,2020,"$1,148,528,3"
478.Ice Age: Dawn of the Dinosaurs,6.9,"Animation, Adventure, Comedy",94,2009,"$408,247,9"
479.Presumed Innocent,6.9,"Mystery, Thriller",127,1990,"$348,319,8"
480.The Flash(I) ,6.8,"Action, Adventure, Fantasy",144,2023,"$275,248,6"
481.Teenage Mutant Ninja Turtles,6.8,"Action, Adventure, Comedy",93,1990,"$654,213,4"
482.The Fast and the Furious,6.8,"Action, Crime, Thriller",106,2001,"$1,131,416,4"
483.Hannibal,6.8,"Crime, Drama, Thriller",131,2001,"$250,162,2"
484.Bridesmaids(I) ,6.8,"Comedy, Romance",125,2011,"$256,067,1"
485.Hook,6.8,"Adventure, Comedy, Family",142,1991,"$400,063,8"
486.The Lion King,6.8,"Animation, Adventure, Drama",118,2019,"$880,705,3"
487.Aquaman,6.8,"Action, Adventure, Fantasy",143,2018,"$237,113,1"
488.Signs,6.8,"Drama, Mystery, Sci-Fi",106,2002,"$229,147,5"
489.The Maze Runner,6.8,"Action, Mystery, Sci-Fi",113,2014,"$334,272,5"
490.Creed III,6.8,"Drama, Sport",116,2023,"$227,927,1"
491.Men in Black 3,6.8,"Action, Adventure, Comedy",106,2012,Top Lifetime Grosses – Worldwi
492.Captain Marvel,6.8,"Action, Adventure, Sci-Fi",123,2019,"July 2, 20"
493.The Bad Guys,6.8,"Animation, Adventure, Comedy",100,2022,"$197,079,5"
494.Us(II) ,6.8,"Horror, Mystery, Thriller",116,2019,"$484,592,8"
495.Tron,6.8,"Action, Adventure, Sci-Fi",125,2010,"$644,783,1"
496.Spectre(I) ,6.8,"Action, Adventure, Thriller",148,2015,"$198,520,9"
497.Saturday Night Fever,6.8,"Drama, Music",118,1977,"$1,453,683,4"
498.Ghostbusters,6.8,"Action, Comedy, Fantasy",117,2016,"$211,468,2"
499.Bridget Jones's Diary,6.8,"Comedy, Drama, Romance",97,2001,"$270,248,3"
500.Sleepless in Seattle,6.8,"Comedy, Drama, Romance",105,1993,"$179,033,7"
501.Panic Room,6.8,"Crime, Drama, Thriller",112,2002,"$358,994,8"
502.Bruce Almighty,6.8,"Comedy, Fantasy",101,2003,"$250,288,5"
503.Thor: The Dark World,6.8,"Action, Adventure, Fantasy",112,2013,"$223,241,6"
504.50 First Dates,6.8,"Comedy, Drama, Romance",99,2004,"$196,114,5"
505.Frozen II,6.8,"Animation, Adventure, Comedy",103,2019,"$309,979,9"
506.A Series of Unfortunate Events,6.8,"Adventure, Comedy, Family",108,2004,"$746,921,2"
507.The Firm,6.8,"Drama, Mystery, Thriller",154,1993,"$182,057,0"
508.City Slickers,6.8,"Comedy, Western",113,1991,"$250,397,7"
509.Home Alone 2: Lost in New York,6.8,"Adventure, Comedy, Crime",120,1992,"$298,572,7"
510.The Mask of Zorro,6.8,"Action, Adventure, Comedy",136,1998,"$667,094,5"
511.Yes Man,6.8,"Comedy, Romance",104,2008,"$202,292,9"
512.The Vow,6.8,"Drama, Romance",104,2012,"$275,698,0"
513.Bolt,6.8,"Animation, Adventure, Comedy",96,2008,"$183,510,2"
514.Madagascar 3: Europe's Most Wanted,6.8,"Animation, Adventure, Comedy",95,2012,"$325,286,6"
515.While You Were Sleeping,6.8,"Comedy, Drama, Romance",103,1995,"$188,116,7"
516.Brother Bear,6.8,"Animation, Adventure, Comedy",85,2003,"$191,602,1"
517.Horton Hears a Who!,6.8,"Animation, Adventure, Comedy",86,2008,"$190,400,1"
518.Ice Age: The Meltdown,6.8,"Animation, Adventure, Comedy",91,2006,"$474,968,7"
519.Patch Adams,6.8,"Biography, Comedy, Drama",115,1998,"$859,208,8"
520.Mr. Peabody & Sherman,6.8,"Animation, Adventure, Comedy",92,2014,"$379,751,6"
521.Storks,6.8,"Animation, Adventure, Comedy",87,2016,"$410,902,6"
522.A Christmas Carol,6.8,"Animation, Adventure, Comedy",96,2009,"$553,709,7"
523.Mou seung,6.8,"Action, Crime, Mystery",130,2018,"$342,463,0"
524.Wu sha,6.8,"Crime, Drama, Thriller",112,2019,"$317,375,0"
525.The Equalizer 2,6.7,"Action, Crime, Thriller",121,2018,"$296,482,4"
526.Charlie and the Chocolate Factory,6.7,"Adventure, Comedy, Family",115,2005,"$439,048,9"
527.Black Panther: Wakanda Forever,6.7,"Action, Adventure, Drama",161,2022,"$801,693,9"
528.Black Widow,6.7,"Action, Adventure, Sci-Fi",134,2021,"$250,821,4"
529.Kingsman: The Golden Circle,6.7,"Action, Adventure, Comedy",141,2017,"$187,170,7"
530.Armageddon,6.7,"Action, Adventure, Sci-Fi",151,1998,"$467,989,6"
531.Wanted,6.7,"Action, Crime, Thriller",110,2008,"$383,930,6"
532.The Proposal(I) ,6.7,"Comedy, Drama, Romance",108,2009,"$566,652,8"
533.Miss Peregrine's Home for Peculiar Children,6.7,"Adventure, Drama, Family",127,2016,"$346,079,7"
534.Warcraft,6.7,"Action, Adventure, Fantasy",123,2016,"$347,325,8"
535.Jumanji: The Next Level,6.7,"Action, Adventure, Comedy",123,2019,"$414,828,2"
536.You've Got Mail,6.7,"Comedy, Drama, Romance",119,1998,"$234,989,5"
537.One Piece Film Red,6.7,"Animation, Action, Adventure",115,2022,"$349,546,1"
538.Bumblebee(I) ,6.7,"Action, Adventure, Sci-Fi",114,2018,"$208,076,2"
539.Cars 3,6.7,"Animation, Adventure, Comedy",102,2017,"$427,344,3"
540.Kong: Skull Island,6.7,"Action, Adventure, Fantasy",118,2017,"$181,096,1"
541.Pocahontas(I) ,6.7,"Animation, Adventure, Drama",81,1995,"$203,627,7"
542.Rush Hour 2,6.7,"Action, Comedy, Crime",90,2001,"$332,207,6"
543.The Wolverine,6.7,"Action, Sci-Fi",126,2013,"$485,930,8"
544.American Reunion,6.7,Comedy,113,2012,"$339,795,8"
545.Mary Poppins Returns,6.7,"Adventure, Comedy, Family",130,2018,"$198,685,1"
546.Safe House,6.7,"Action, Thriller",115,2012,"$296,069,1"
547.The Matrix Revolutions,6.7,"Action, Sci-Fi",129,2003,"$265,328,7"
548.Hot Shots!,6.7,"Action, Comedy",84,1991,"$321,731,5"
549.Hairspray,6.7,"Comedy, Drama, Musical",117,2007,"$309,492,6"
550.The Good Dinosaur,6.7,"Animation, Adventure, Comedy",93,2015,"$186,883,5"
551.Angels & Demons,6.7,"Action, Mystery, Thriller",138,2009,"$205,637,1"
552.Over the Hedge,6.7,"Animation, Adventure, Comedy",83,2006,"$461,421,5"
553.City of Angels,6.7,"Drama, Fantasy, Romance",114,1998,"$216,000,0"
554.Ferdinand,6.7,"Animation, Adventure, Comedy",108,2017,"$228,122,9"
555.Something's Gotta Give,6.7,"Comedy, Drama, Romance",128,2003,"$368,744,0"
556.Lethal Weapon 3,6.7,"Action, Crime, Thriller",118,1992,"$288,885,8"
557.Ransom,6.7,"Action, Crime, Thriller",121,1996,"$653,779,9"
558.The Horse Whisperer,6.7,"Drama, Romance, Western",169,1998,"$708,982,3"
559.Xi you: Xiang mo pian,6.7,"Action, Adventure, Comedy",110,2013,"$856,085,1"
560.Ba bai,6.7,"Action, Drama, History",149,2020,"$1,236,005,1"
561.Song ni yi duo xiao hong hua,6.7,"Drama, Family",122,2020,"$1,046,721,2"
562.Xia Luo te fan nao,6.7,"Comedy, Drama, Fantasy",104,2015,"$402,264,8"
563.My Big Fat Greek Wedding,6.6,"Comedy, Drama, Romance",95,2002,"$246,999,0"
564.Divergent,6.6,"Action, Adventure, Mystery",139,2014,"$589,580,4"
565.Star Wars: Episode II - Attack of the Clones,6.6,"Action, Adventure, Fantasy",142,2002,"$314,975,9"
566.The Amazing Spider-Man 2,6.6,"Action, Adventure, Sci-Fi",142,2014,"$284,139,1"
567.Venom,6.6,"Action, Adventure, Sci-Fi",112,2018,"$755,356,7"
568.The Fate of the Furious,6.6,"Action, Crime, Thriller",136,2017,"$256,697,5"
569.Pirates of the Caribbean: On Stranger Tides,6.6,"Action, Adventure, Fantasy",137,2011,"$415,484,9"
570.Mamma Mia! Here We Go Again,6.6,"Comedy, Musical, Romance",114,2018,"$286,140,7"
571.Glass,6.6,"Drama, Horror, Sci-Fi",129,2019,"$215,394,7"
572.Quantum of Solace,6.6,"Action, Adventure, Mystery",106,2008,"$264,770,9"
573.The Expendables 2,6.6,"Action, Adventure, Thriller",103,2012,"$220,889,4"
574.John Carter,6.6,"Action, Adventure, Sci-Fi",132,2012,"$321,669,7"
575.The Hunger Games: Mockingjay - Part 1,6.6,"Action, Adventure, Sci-Fi",123,2014,"$760,006,9"
576.The Village,6.6,"Drama, Mystery, Thriller",108,2004,"$460,435,2"
577.Jason Bourne(I) ,6.6,"Action, Thriller",123,2016,"$554,987,4"
578.Elysium(I) ,6.6,"Action, Drama, Sci-Fi",109,2013,"$328,203,5"
579.Ghostbusters II,6.6,"Action, Comedy, Fantasy",108,1989,"$291,420,3"
580.The Incredible Hulk,6.6,"Action, Adventure, Sci-Fi",112,2008,"$371,594,2"
581.Jungle Cruise,6.6,"Action, Adventure, Comedy",127,2021,"$229,930,7"
582.Robin Hood,6.6,"Action, Adventure, Drama",140,2010,"$336,365,6"
583.The Da Vinci Code,6.6,"Mystery, Thriller",149,2006,"$312,016,9"
584.X-Men: The Last Stand,6.6,"Action, Adventure, Sci-Fi",104,2006,"$211,787,5"
585.Puss in Boots,6.6,"Animation, Adventure, Comedy",90,2011,"$491,730,0"
586.Crocodile Dundee,6.6,"Action, Adventure, Comedy",97,1986,"$189,859,5"
587.What Lies Beneath,6.6,"Drama, Horror, Mystery",130,2000,"$199,603,2"
588.Hitch(I) ,6.6,"Comedy, Romance",118,2005,"$195,268,0"
589.The Heat(I) ,6.6,"Action, Comedy, Crime",117,2013,"$276,144,7"
590.Prince of Persia: The Sands of Time,6.6,"Action, Adventure, Fantasy",116,2010,"$316,897,7"
591.Austin Powers: The Spy Who Shagged Me,6.6,"Action, Adventure, Comedy",95,1999,"$178,767,3"
592.Australia,6.6,"Adventure, Drama, Romance",165,2008,"$273,339,5"
593.Maleficent: Mistress of Evil,6.6,"Adventure, Family, Fantasy",119,2019,Top Lifetime Grosses – Worldwi
594.Outbreak,6.6,"Action, Drama, Thriller",127,1995,"July 2, 20"
595.The Lego Movie 2: The Second Part,6.6,"Animation, Action, Adventure",107,2019,"$603,900,3"
596.The Pelican Brief,6.6,"Crime, Drama, Mystery",141,1993,"$475,186,7"
597.The Bourne Legacy,6.6,"Action, Adventure, Thriller",135,2012,"$268,426,6"
598.The Polar Express,6.6,"Animation, Adventure, Comedy",100,2004,"$373,515,6"
599.Eagle Eye,6.6,"Action, Mystery, Thriller",118,2008,"$285,444,6"
600.Bad Boys II,6.6,"Action, Comedy, Crime",147,2003,"$351,496,0"
601.Madagascar: Escape 2 Africa,6.6,"Animation, Adventure, Comedy",89,2008,"$214,115,5"
602.Hotel Transylvania 2,6.6,"Animation, Adventure, Comedy",89,2015,"$579,330,4"
603.Epic,6.6,"Animation, Action, Adventure",102,2013,"$205,842,3"
604.Penguins of Madagascar,6.6,"Animation, Action, Adventure",92,2014,"$198,921,6"
605.Lethal Weapon 4,6.6,"Action, Crime, Thriller",127,1998,"$211,019,0"
606.Peter Rabbit,6.6,"Adventure, Comedy, Crime",95,2018,"$217,408,5"
607.Smallfoot,6.6,"Animation, Adventure, Comedy",96,2018,"$1,027,082,7"
608.Hong hai xing dong,6.6,"Action, Drama, Thriller",142,2018,"$352,794,0"
609.Nou fo,6.6,"Action, Adventure, Crime",126,2021,"$494,580,6"
610.Chak dan juen ga 2,6.6,"Action, Crime, Thriller",120,2020,"$1,077,022,3"
611.Qi ji · Ben xiao hai,6.6,"Comedy, Drama",106,2022,"$873,637,5"
612.Smile(V) ,6.5,"Horror, Mystery, Thriller",115,V 2022,"$694,478,3"
613.Star Wars: Episode I - The Phantom Menace,6.5,"Action, Adventure, Fantasy",136,1999,"$360,366,8"
614.Murder on the Orient Express,6.5,"Crime, Drama, Mystery",114,2017,"$618,638,9"
615.Twister(I) ,6.5,"Action, Adventure, Thriller",113,1996,"$795,922,2"
616.Star Wars: Episode IX - The Rise of Skywalker,6.5,"Action, Adventure, Fantasy",141,2019,"$405,421,5"
617.Batman v Superman: Dawn of Justice,6.5,"Action, Adventure, Sci-Fi",151,2016,"$552,639,5"
618.Mamma Mia!,6.5,"Comedy, Musical, Romance",108,2008,"$603,873,1"
619.Fast & Furious,6.5,"Action, Crime, Thriller",107,2009,"$473,122,5"
620.The Lost World: Jurassic Park,6.5,"Action, Adventure, Sci-Fi",129,1997,"$319,715,6"
621.Pirates of the Caribbean: Dead Men Tell No Tales,6.5,"Action, Adventure, Fantasy",129,2017,"$574,481,2"
622.Sonic the Hedgehog 2,6.5,"Action, Adventure, Comedy",122,2022,"$654,855,9"
623.The Day After Tomorrow,6.5,"Action, Adventure, Sci-Fi",124,2004,"$487,287,6"
624.War of the Worlds,6.5,"Action, Adventure, Sci-Fi",116,2005,"$237,202,2"
625.It Chapter Two,6.5,"Drama, Fantasy, Horror",169,2019,"$371,353,0"
626.Sonic the Hedgehog,6.5,"Action, Adventure, Comedy",99,2020,"$231,605,1"
627.Night at the Museum,6.5,"Adventure, Comedy, Family",108,2006,"$373,062,8"
628.Fantastic Beasts: The Crimes of Grindelwald,6.5,"Adventure, Family, Fantasy",134,2018,"$760,732,9"
629.Mr. & Mrs. Smith,6.5,"Action, Comedy, Crime",120,2005,"$894,328,4"
630.Gone in Sixty Seconds,6.5,"Action, Crime, Thriller",118,2000,"$653,428,2"
631.Terminator Salvation,6.5,"Action, Adventure, Sci-Fi",115,2009,"$248,639,0"
632.Sister Act,6.5,"Comedy, Family, Music",100,1992,"$219,103,6"
633.X-Men Origins: Wolverine,6.5,"Action, Sci-Fi",107,2009,"$328,718,4"
634.Fast & Furious Presents: Hobbs & Shaw,6.5,"Action, Adventure, Thriller",137,2019,"$362,744,2"
635.The Secret Life of Pets,6.5,"Animation, Adventure, Comedy",87,2016,"$449,762,6"
636.The Hunger Games: Mockingjay - Part 2,6.5,"Action, Adventure, Sci-Fi",137,2015,"$306,515,8"
637.The Blair Witch Project,6.5,"Horror, Mystery",81,1999,"$259,939,8"
638.It's Complicated,6.5,"Comedy, Drama, Romance",121,2009,"$315,156,4"
639.The Perfect Storm,6.5,"Action, Adventure, Drama",130,2000,"$419,665,5"
640.Ocean's Twelve,6.5,"Crime, Thriller",125,2004,"$300,400,4"
641.Pokémon: Detective Pikachu,6.5,"Action, Adventure, Comedy",104,2019,"$939,628,2"
642.Annabelle: Creation,6.5,"Horror, Mystery, Thriller",109,2017,"$586,764,3"
643.Halloween(I) ,6.5,"Crime, Horror, Thriller",106,2018,"$230,594,9"
644.Air Force One,6.5,"Action, Drama, Thriller",124,1997,"$182,968,9"
645.The Chronicles of Narnia: Prince Caspian,6.5,"Action, Adventure, Family",150,2008,"$386,041,6"
646.Rambo: First Blood Part II,6.5,"Action, Adventure, Thriller",96,1985,"$426,505,2"
647.Minions: The Rise of Gru,6.5,"Animation, Adventure, Comedy",87,2022,"$255,000,2"
648.The Hangover Part II,6.5,Comedy,102,2011,"$333,011,0"
