Movies,IMDB Rating,Genre,Runtime (in min),Year of Release,Gross Income (in $)
97.Casino Royale,8,"Action, Adventure, Thriller",144,2006,"$797,660,7"
98.The Incredibles,8,"Animation, Action, Adventure",115,2004,"$585,796,2"
99.Dances with Wolves,8,"Adventure, Drama, Western",181,1990,"$370,541,2"
100.Beauty and the Beast,8,"Animation, Family, Fantasy",84,1991,"$855,301,8"
101.JFK,8,"Drama, History, Thriller",189,1991,"$910,809,3"
102.Aladdin,8,"Animation, Adventure, Comedy",90,1992,"$385,680,4"
103.The Pursuit of Happyness,8,"Biography, Drama",117,2006,"$792,910,5"
104.Rain Man,8,Drama,133,1988,"$488,441,3"
105.Slumdog Millionaire,8,"Crime, Drama, Romance",120,2008,"$210,888,9"
106.The King's Speech,8,"Biography, Drama, History",118,2010,"$746,045,7"
107.The Bourne Ultimatum,8,"Action, Mystery, Thriller",115,2007,"$315,025,9"
108.Titanic,7.9,"Drama, Romance",194,1997,"$609,016,5"
109.Puss in Boots: The Last Wish,7.9,"Animation, Adventure, Comedy",102,2022,"$497,375,3"
110.Arrival(II) ,7.9,"Drama, Mystery, Sci-Fi",116,2016,"$213,977,2"
111.Avatar,7.9,"Action, Adventure, Fantasy",162,2009,"$427,653,4"
112.Knives Out,7.9,"Comedy, Crime, Drama",130,2019,"$770,962,5"
113.Harry Potter and the Prisoner of Azkaban,7.9,"Adventure, Family, Fantasy",142,2004,"$527,016,3"
114.Iron Man,7.9,"Action, Adventure, Sci-Fi",126,2008,"$218,843,6"
115.Edge of Tomorrow,7.9,"Action, Adventure, Sci-Fi",113,2014,"$1,058,682,1"
116.Thor: Ragnarok,7.9,"Action, Adventure, Comedy",130,2017,"$296,578,7"
117.Bohemian Rhapsody,7.9,"Biography, Drama, Music",134,2018,"$255,745,1"
118.Star Trek,7.9,"Action, Adventure, Sci-Fi",127,2009,"$1,142,471,2"
119.E.T. the Extra-Terrestrial,7.9,"Adventure, Family, Sci-Fi",115,1982,"$232,617,4"
120.Shrek,7.9,"Animation, Adventure, Comedy",90,2001,"$224,920,3"
121.District 9,7.9,"Action, Sci-Fi, Thriller",112,2009,"$269,755,4"
122.X-Men: Days of Future Past,7.9,"Action, Adventure, Sci-Fi",132,2014,"$1,017,030,6"
123.Wonder(I) ,7.9,"Drama, Family",113,2017,"$2,071,310,2"
124.Life of Pi,7.9,"Adventure, Drama, Fantasy",127,2012,"$429,632,1"
125.Toy Story 2,7.9,"Animation, Adventure, Comedy",92,1999,"$335,802,7"
126.Wo hu cang long,7.9,"Action, Adventure, Drama",120,2000,"$226,837,7"
127.John Wick: Chapter 4,7.8,"Action, Crime, Thriller",169,2023,"$235,956,8"
128.The Batman,7.8,"Action, Crime, Drama",176,2022,"$368,875,7"
129.Dunkirk,7.8,"Action, Drama, History",106,2017,"$214,034,2"
130.Little Women,7.8,"Drama, Romance",135,2019,"$959,027,9"
131.Rogue One,7.8,"Action, Adventure, Sci-Fi",133,2016,"$454,627,2"
